Model name,Dataset / asset,Model family,Feature set,Directional Accuracy,Accuracy,Precision,Recall,F1,Specificity,Balanced Accuracy,Predicted up rate,True up rate,Majority baseline accuracy,Momentum baseline accuracy,Validation threshold,Threshold objective,Validation F1,Validation accuracy,Validation balanced accuracy,Sharpe ratio,Information coefficient,Training time,Inference time,Parameter count,Data source,Notes
Majority baseline,NVDA,Baseline,Target distribution,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,0.6909090909090909,0.0,0.5,1.0,0.5277777777777778,0.5277777777777778,0.49444444444444446,N/A,N/A,N/A,N/A,N/A,0.7472609661157865,N/A,0.0,0.0,0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
Momentum baseline,NVDA,Baseline,Previous-day return sign,0.49444444444444446,0.49444444444444446,0.5212765957446809,0.5157894736842106,0.5185185185185186,0.47058823529411764,0.4931888544891641,0.5222222222222223,0.5277777777777778,0.5277777777777778,0.49444444444444446,N/A,N/A,N/A,N/A,N/A,-0.9022223879286394,N/A,0.0,0.0,0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
ANN,NVDA,ANNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5166666666666667,0.5166666666666667,0.5235294117647059,0.9368421052631579,0.6716981132075471,0.047058823529411764,0.49195046439628487,0.9444444444444444,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.46499999999999997,f1,0.6956521739130436,0.5333333333333333,0.4948453608247423,0.180495913467989,-0.06346490880568954,0.5650694999999359,0.0012459999998100102,2641,yfinance,"Classical ANN comparison from the interim qubit/qutrit paper track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQBN,NVDA,QQBNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,0.6909090909090909,0.0,0.5,1.0,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.47,f1,0.6956521739130436,0.5333333333333333,0.4948453608247423,0.7472609661157865,0.03583974058009898,0.7634610000000066,0.0013343999999051448,4033,yfinance,"Qubit-inspired comparison model from the interim QQBN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN,NVDA,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5666666666666667,0.5666666666666667,0.5502958579881657,0.9789473684210527,0.7045454545454547,0.10588235294117647,0.5424148606811146,0.9388888888888889,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.45499999999999996,f1,0.6962962962962963,0.5444444444444444,0.5086324680163955,1.8418945711039174,0.04271596871041438,0.6948489999999765,0.0012007999998786545,5425,yfinance,"Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN balanced threshold,NVDA,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5666666666666667,0.5666666666666667,0.5502958579881657,0.9789473684210527,0.7045454545454547,0.10588235294117647,0.5424148606811146,0.9388888888888889,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.45499999999999996,balanced_accuracy,0.6962962962962963,0.5444444444444444,0.5086324680163955,1.8418945711039174,0.04271596871041438,0.6948489999999765,0.0012007999998786545,5425,yfinance,"Same trained QQTN probabilities as the main row, but the validation threshold optimizes balanced accuracy to reduce one-sided up/down predictions. Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
ANN+QQBN+QQTN ensemble,NVDA,ANN/QQBN/QQTN calibrated ensemble,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5277777777777778,0.5277777777777778,0.5280898876404494,0.9894736842105263,0.6886446886446885,0.011764705882352941,0.5006191950464396,0.9888888888888889,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.46499999999999997,accuracy,0.6956521739130436,0.5333333333333333,0.4948453608247423,0.6595027312861883,0.015404620581172077,0.0,0.0,0,yfinance,"Validation-calibrated probability average over the reused interim ANN, QQBN, and QQTN models. This is an ensemble view, not a new paper architecture."
ANN+QQBN+QQTN balanced ensemble,NVDA,ANN/QQBN/QQTN calibrated ensemble,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4722222222222222,0.4722222222222222,0.0,0.0,0.0,1.0,0.5,0.0,0.5277777777777778,0.5277777777777778,0.49444444444444446,0.49,balanced_accuracy,0.09615384615384615,0.4777777777777778,0.5137250031052043,-0.7472609661157865,0.015404620581172077,0.0,0.0,0,yfinance,"Same probability average as the ensemble row, but with the validation threshold optimized for balanced accuracy. This row is included to inspect the up/down class balance directly."
